timestamp,price
1772488543,69474.95639452
1772488543,69473.98285621
1772488544,69474.4462764
1772488545,69471.30812073
1772488545,69467.90212149
1772488546,69468.245
1772488548,69466.20997993
1772488548,69466.30445616
1772488549,69466.5937977
1772488551,69467.57764757
1772488552,69466.04645804
1772488553,69465.50829547
1772488554,69462.74751502
1772488555,69460.75396376
1772488556,69457
1772488557,69449.92
1772488558,69443
1772488559,69438.98961223
1772488560,69435.41098093
1772488560,69437.38532303
1772488561,69435.6407948
1772488563,69433.9193385
1772488563,69435.28471408
1772488565,69427.9569976
1772488566,69418.663
1772488567,69406
1772488568,69407.11583604
1772488570,69408.16558961
1772488570,69406.89
1772488571,69407.28
1772488572,69419.91951595
1772488573,69425.46517409
1772488574,69428.88667347
1772488575,69437.25
1772488576,69437.77211724
1772488576,69438.195
1772488577,69438
1772488579,69438.75
1772488580,69438.51510493
1772488581,69439
1772488582,69438.5
1772488583,69430.3336706
1772488583,69437.16931685
1772488586,69426.77499999
1772488586,69420.67977565
1772488587,69420.51477565
1772488589,69418.88005508
1772488589,69417.19251503
1772488590,69414.5675
1772488591,69399.9173512
1772488591,69401.55403026
1772488593,69399.69593065
1772488594,69398.56229717
1772488594,69398.98331168
1772488595,69399.94593065
1772488596,69400.8673908
1772488598,69405.29483142
1772488598,69402.77143583
1772488601,69405.89387544
1772488601,69402.05
1772488603,69400.06104503
1772488603,69398.485
1772488605,69397.89511266
1772488606,69439.4183984
1772488607,69439.41008068
1772488608,69439.635
1772488609,69398.98
1772488609,69399.59172221
1772488610,69399.32273982
1772488612,69398.88804046
1772488612,69398.74535895
1772488613,69399.44955931
1772488615,69410.47691996
1772488616,69419.7
1772488616,69420.53
1772488617,69420.07727958
1772488618,69418.6621073
1772488619,69418.69261167
1772488620,69420.72170399
1772488621,69419.15183875
1772488621,69424.91759487
1772488624,69422.99403945
1772488625,69421.28801506
1772488626,69421.4960131
1772488627,69422.14905284
1772488628,69422.35156785
1772488628,69422.28014119
1772488629,69422.39107274
1772488631,69422.5
1772488632,69422.5325
1772488632,69421.65252591
1772488633,69422.08216224
1772488634,69420.835
1772488635,69421.80220652
1772488637,69420.38
1772488638,69420.7525
1772488639,69420.81509105
1772488640,69420.89038112
1772488641,69420.78999999
1772488642,69421.09461122
1772488643,69420.7702896
1772488644,69421.05
1772488645,69419.05
1772488645,69418.27944861
1772488646,69418.80730306
1772488646,69417.72002168
1772488649,69417.52152176
1772488650,69417.79216022
1772488651,69417.11532012
1772488652,69417.41467013
1772488652,69414.73449675
1772488653,69417.39298858
1772488655,69405.89
1772488656,69401.75
1772488657,69398.36358296
1772488657,69398.03723926
1772488658,69398.66973927
1772488660,69398.14974144
1772488661,69398.43866984
1772488662,69399.22771643
1772488663,69401.97404847
1772488664,69402.34118084
1772488666,69401.71731869
1772488666,69401.5
1772488667,69408.255
1772488668,69415.20103835
1772488669,69416.88675185
1772488670,69428.55338298
1772488670,69429.00688849
1772488672,69429.23216555
1772488673,69420.0623825
1772488673,69419.57765537
1772488674,69420.27032111
1772488676,69420.41150864
1772488676,69420.87843362
1772488677,69420.74564691
1772488679,69421.61652012
1772488680,69421.15611713
1772488681,69421.53506937
1772488682,69418.72786375
1772488683,69417.32740639
1772488684,69417.47921691
1772488685,69417.10529249
1772488686,69418.77499999
1772488687,69419.22728289
1772488688,69420.92826239
1772488689,69421.98886383
1772488690,69422.42029155
1772488691,69422.89126248
1772488692,69426.24972149
1772488694,69428.44837138
1772488694,69428.4725
1772488695,69429.16771536
1772488696,69429.2258067
1772488697,69429.07010328
1772488698,69429.69196395
